t(s),I1 (A),I2 (A),I3 (A)
0,0.011,0,0.019
0.097057583,0.011,0,0.022
0.198050806,0.011,0,0.019
0.298050045,0.011,0,0.022
0.398034841,0.011,0,0.019
0.49803294,0.013,0,0.019
0.598027619,0.011,0,0.022
0.698020397,0.011,-0.002,0.019
0.799040987,0.011,0,0.019
0.899027684,0.011,0,0.022
0.998998795,0.011,0,0.022
1.098994614,0.011,0.002,0.019
1.198986252,0.011,-0.002,0.019
1.299982515,0.013,0,0.019
1.399976434,0.011,0.002,0.022
1.499973013,0.011,0,0.019
1.599992398,0.011,0,0.022
1.699953627,0.013,0,0.019
1.799944124,0.011,0,0.022
1.899884067,0.013,0,0.019
2.000966615,0.013,0,0.019
2.100960154,0.013,0,0.019
2.200925564,0.013,0,0.022
2.300951031,0.011,0,0.022
2.400909979,0.011,0,0.022
2.500909979,0.011,-0.002,0.022
2.601904342,0.011,0.002,0.019
2.701925628,0.013,0,0.019
2.801918026,0.013,0.002,0.022
2.901877355,0.013,0,0.019
3.001907763,0.011,0,0.022
3.101903202,0.013,0,0.019
3.202866776,0.013,0.002,0.019
3.302867917,0.011,0,0.022
3.402849671,0.011,0,0.019
3.502847771,0.011,0,0.022
3.602869817,0.011,0,0.019
3.702862595,0.013,0,0.022
3.803823889,0.013,0,0.022
3.903834152,0.011,0,0.019
4.003824649,0.011,0.002,0.019
4.103842894,0.011,0,0.022
4.203845555,0.013,0,0.019
4.303803363,0.011,0,0.019
4.404824713,0.011,0.002,0.022
4.504784422,0.011,0,0.022
4.60477644,0.011,0,0.019
4.704808369,0.013,0,0.022
4.804800387,0.011,0.002,0.022
4.904794305,0.011,0.002,0.022
5.004792404,0.011,0,0.022
5.10576054,0.008,0.002,0.022
5.205769282,0.013,0,0.019
5.305739254,0.011,0,0.019
5.405767382,0.011,0,0.022
5.505764721,0.011,0,0.022
5.605730511,0.011,0,0.022
5.706747681,0.011,0,0.019
5.806707009,0.013,0,0.019
5.906703588,0.011,0,0.019
6.006691805,0.011,0,0.022
6.106702828,0.011,0,0.019
6.206684583,0.013,0,0.022
6.307674004,0.011,0,0.019
6.407778534,0.011,0,0.019
6.507756488,0.011,0,0.022
6.607661461,0.011,0,0.019
6.707689209,0.011,0,0.022
6.807662221,0.011,0,0.022
6.908658865,0.013,0,0.022
7.008652403,0.011,0,0.019
7.108667987,0.011,0,0.019
7.208632257,0.011,0,0.022
7.308620854,0.011,0.002,0.022
7.409645245,0.011,0,0.019
7.509622439,0.011,0,0.022
7.609623199,0.013,0,0.022
7.709598112,0.013,0,0.022
7.809585188,0.013,0,0.022
7.909600012,0.011,0,0.022
8.010606159,0.011,0.002,0.022
8.110566628,0.013,0.002,0.019
8.210581452,0.013,0,0.019
8.31057347,0.011,0,0.022
8.410551803,0.011,0,0.022
8.510558645,0.013,0.002,0.019
8.611572774,0.013,0,0.022
8.71152336,0.011,0,0.019
8.811527161,0.011,0,0.019
8.91155833,0.013,0,0.022
9.01148725,0.011,0,0.022
9.111543886,0.013,0,0.022
9.211536284,0.011,0,0.022
9.312512781,0.011,0,0.022
9.412525705,0.011,0,0.022
9.512485794,0.013,0,0.022
9.612468689,0.013,0,0.019
9.712483133,0.011,0,0.022
9.813480917,0.011,0,0.022
9.913480917,0.011,0,0.019
10.013473695,0.011,0,0.022
10.113467613,0.011,0,0.019
10.213478636,0.011,0.002,0.022
10.313471034,0.011,0,0.022
10.414447912,0.011,0,0.022
10.514425866,0.013,0,0.019
10.61440648,0.013,0,0.019
10.714451333,0.013,0,0.022
10.814444111,0.011,0,0.019
10.914436509,0.011,0,0.022
11.014410281,0.011,0,0.019
11.115380318,0.011,0.002,0.022
11.21545862,0.011,0.002,0.019
11.315397803,0.011,0,0.022
11.415450257,1.596,1.686,1.845
11.515357511,1.918,1.853,1.985
11.616368979,1.828,1.75,1.859
11.716388745,1.809,1.764,1.848
11.816382663,1.806,1.764,1.839
11.916344652,1.856,1.767,1.837
12.016350354,1.828,1.75,1.82
12.116362517,1.825,1.75,1.817
12.21735764,1.845,1.764,1.814
12.317339775,1.845,1.758,1.823
12.417331413,1.837,1.769,1.828
12.517343196,1.845,1.767,1.814
12.617334834,1.856,1.772,1.837
12.717327992,1.839,1.764,1.828
12.81932546,1.837,1.764,1.825
12.918283584,1.89,1.803,1.792
13.018307151,1.884,1.8,1.772
13.118274461,1.89,1.8,1.772
13.218299168,1.892,1.809,1.764
13.318258877,1.876,1.792,1.775
13.419270345,1.879,1.797,1.775
13.519281748,1.892,1.811,1.778
13.619275286,1.892,1.789,1.792
13.719247538,1.898,1.795,1.792
13.819242597,1.895,1.786,1.789
13.919231194,1.87,1.825,1.783
14.020224416,1.887,1.814,1.783
14.120204651,1.876,1.817,1.786
14.220209592,1.881,1.834,1.789
14.320214533,1.887,1.814,1.789
14.420225937,1.884,1.82,1.789
14.52122106,1.879,1.817,1.786
14.621181148,1.879,1.811,1.786
14.721171646,1.887,1.809,1.781
14.823185459,1.873,1.817,1.792
14.921172406,1.831,1.811,1.825
15.021173926,1.811,1.814,1.828
15.122158787,1.923,1.89,1.895
15.222147003,1.839,1.809,1.842
15.322140922,2.228,2.158,2.197
15.422131799,1.884,1.845,1.87
15.522158026,1.971,1.923,1.923
15.622151945,1.962,1.895,1.974
15.723145928,2.049,1.999,1.982
15.823111338,1.976,1.932,2.049
15.92311856,2.035,1.906,1.993
16.023080929,1.962,1.884,2.002
16.123023153,1.867,1.789,1.912
16.224119765,1.89,1.806,1.94
16.324111402,2.077,1.923,2.049
16.424104941,2.027,1.934,2.055
16.524079473,2.01,1.915,2.074
16.624078333,1.884,1.775,1.895
16.724047924,2.01,1.904,2.049
16.825059012,2.021,1.92,2.049
16.925058632,2.133,1.96,2.139
17.02505255,2.343,2.183,2.236
17.125064334,2.116,1.946,2.097
17.225058252,2.225,2.099,2.116
17.32498185,2.002,1.851,2.021
17.426010803,2.357,2.287,2.208
17.525935161,2.139,1.968,2.139
17.626011563,2.284,2.139,2.172
17.726004341,2.25,2.071,2.208
17.825989137,2.331,2.164,2.242
17.925995599,2.538,2.343,2.547
18.02596443,2.222,2.069,2.113
18.127004026,2.329,2.206,2.231
18.226907858,2.06,1.954,1.971
18.326956512,2.15,2.122,2.119
18.426969056,2.066,1.929,1.985
