t(s),I1 (A),I2 (A),I3 (A),V(V)
0,0.011,0,0.019,200
0.097057583,0.011,0,0.022,200
0.198050806,0.011,0,0.019,200
0.298050045,0.011,0,0.022,200
0.398034841,0.011,0,0.019,200
0.49803294,0.013,0,0.019,200
0.598027619,0.011,0,0.022,200
0.698020397,0.011,-0.002,0.019,200
0.799040987,0.011,0,0.019,200
0.899027684,0.011,0,0.022,200
0.998998795,0.011,0,0.022,200
1.098994614,0.011,0.002,0.019,200
1.198986252,0.011,-0.002,0.019,200
1.299982515,0.013,0,0.019,200
1.399976434,0.011,0.002,0.022,200
1.499973013,0.011,0,0.019,200
1.599992398,0.011,0,0.022,200
1.699953627,0.013,0,0.019,200
1.799944124,0.011,0,0.022,200
1.899884067,0.013,0,0.019,200
2.000966615,0.013,0,0.019,200
2.100960154,0.013,0,0.019,200
2.200925564,0.013,0,0.022,200
2.300951031,0.011,0,0.022,200
2.400909979,0.011,0,0.022,200
2.500909979,0.011,-0.002,0.022,200
2.601904342,0.011,0.002,0.019,200
2.701925628,0.013,0,0.019,200
2.801918026,0.013,0.002,0.022,200
2.901877355,0.013,0,0.019,200
3.001907763,0.011,0,0.022,200
3.101903202,0.013,0,0.019,200
3.202866776,0.013,0.002,0.019,200
3.302867917,0.011,0,0.022,200
3.402849671,0.011,0,0.019,200
3.502847771,0.011,0,0.022,200
3.602869817,0.011,0,0.019,200
3.702862595,0.013,0,0.022,200
3.803823889,0.013,0,0.022,200
3.903834152,0.011,0,0.019,200
4.003824649,0.011,0.002,0.019,200
4.103842894,0.011,0,0.022,200
4.203845555,0.013,0,0.019,200
4.303803363,0.011,0,0.019,200
4.404824713,0.011,0.002,0.022,200
4.504784422,0.011,0,0.022,200
4.60477644,0.011,0,0.019,200
4.704808369,0.013,0,0.022,200
4.804800387,0.011,0.002,0.022,200
4.904794305,0.011,0.002,0.022,200
5.004792404,0.011,0,0.022,200
5.10576054,0.008,0.002,0.022,200
5.205769282,0.013,0,0.019,200
5.305739254,0.011,0,0.019,200
5.405767382,0.011,0,0.022,200
5.505764721,0.011,0,0.022,200
5.605730511,0.011,0,0.022,200
5.706747681,0.011,0,0.019,200
5.806707009,0.013,0,0.019,200
5.906703588,0.011,0,0.019,200
6.006691805,0.011,0,0.022,200
6.106702828,0.011,0,0.019,200
6.206684583,0.013,0,0.022,200
6.307674004,0.011,0,0.019,200
6.407778534,0.011,0,0.019,200
6.507756488,0.011,0,0.022,200
6.607661461,0.011,0,0.019,200
6.707689209,0.011,0,0.022,200
6.807662221,0.011,0,0.022,200
6.908658865,0.013,0,0.022,200
7.008652403,0.011,0,0.019,200
7.108667987,0.011,0,0.019,200
7.208632257,0.011,0,0.022,200
7.308620854,0.011,0.002,0.022,200
7.409645245,0.011,0,0.019,200
7.509622439,0.011,0,0.022,200
7.609623199,0.013,0,0.022,200
7.709598112,0.013,0,0.022,200
7.809585188,0.013,0,0.022,200
7.909600012,0.011,0,0.022,200
8.010606159,0.011,0.002,0.022,200
8.110566628,0.013,0.002,0.019,200
8.210581452,0.013,0,0.019,200
8.31057347,0.011,0,0.022,200
8.410551803,0.011,0,0.022,200
8.510558645,0.013,0.002,0.019,200
8.611572774,0.013,0,0.022,200
8.71152336,0.011,0,0.019,200
8.811527161,0.011,0,0.019,200
8.91155833,0.013,0,0.022,200
9.01148725,0.011,0,0.022,200
9.111543886,0.013,0,0.022,200
9.211536284,0.011,0,0.022,200
9.312512781,0.011,0,0.022,200
9.412525705,0.011,0,0.022,200
9.512485794,0.013,0,0.022,200
9.612468689,0.013,0,0.019,200
9.712483133,0.011,0,0.022,200
9.813480917,0.011,0,0.022,200
9.913480917,0.011,0,0.019,200
10.0134737,0.011,0,0.022,200
10.11346761,0.011,0,0.019,200
10.21347864,0.011,0.002,0.022,200
10.31347103,0.011,0,0.022,200
10.41444791,0.011,0,0.022,200
10.51442587,0.013,0,0.019,200
10.61440648,0.013,0,0.019,200
10.71445133,0.013,0,0.022,200
10.81444411,0.011,0,0.019,200
10.91443651,0.011,0,0.022,200
11.01441028,0.011,0,0.019,200
11.11538032,0.011,0.002,0.022,200
11.21545862,0.011,0.002,0.019,200
11.3153978,0.011,0,0.022,200
11.41545026,1.596,1.686,1.845,200
11.51535751,1.918,1.853,1.985,200
11.61636898,1.828,1.75,1.859,200
11.71638875,1.809,1.764,1.848,200
11.81638266,1.806,1.764,1.839,200
11.91634465,1.856,1.767,1.837,200
12.01635035,1.828,1.75,1.82,200
12.11636252,1.825,1.75,1.817,200
12.21735764,1.845,1.764,1.814,200
12.31733978,1.845,1.758,1.823,200
12.41733141,1.837,1.769,1.828,200
12.5173432,1.845,1.767,1.814,200
12.61733483,1.856,1.772,1.837,200
12.71732799,1.839,1.764,1.828,200
12.81932546,1.837,1.764,1.825,200
12.91828358,1.89,1.803,1.792,200
13.01830715,1.884,1.8,1.772,200
13.11827446,1.89,1.8,1.772,200
13.21829917,1.892,1.809,1.764,200
13.31825888,1.876,1.792,1.775,200
13.41927035,1.879,1.797,1.775,200
13.51928175,1.892,1.811,1.778,200
13.61927529,1.892,1.789,1.792,200
13.71924754,1.898,1.795,1.792,200
13.8192426,1.895,1.786,1.789,200
13.91923119,1.87,1.825,1.783,200
14.02022442,1.887,1.814,1.783,200
14.12020465,1.876,1.817,1.786,200
14.22020959,1.881,1.834,1.789,200
14.32021453,1.887,1.814,1.789,200
14.42022594,1.884,1.82,1.789,200
14.52122106,1.879,1.817,1.786,200
